,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
69,Bathsheba,40,BB,1553313600,74,13.22,-59.52,299.15,9.3
70,Kaniama,68,CD,1553314449,84,-7.57,24.18,293.998,2.07
71,Tabou,24,CI,1553314449,100,4.42,-7.36,301.098,4.67
72,Aleksandrovskiy Zavod,0,RU,1553314449,50,50.92,117.94,268.598,3.17
73,Lasa,20,CY,1553313735,54,34.92,32.53,286.15,1.0
74,Sitka,88,US,1553313639,97,37.17,-99.65,280.37,2.68
75,Narsaq,44,GL,1553313000,79,60.91,-46.05,270.15,7.2
76,Amazar,20,RU,1553314450,38,53.86,120.88,269.398,1.77
77,Chase,1,US,1553313964,73,43.89,-85.64,271.48,2.6
78,Yar-Sale,76,RU,1553313861,89,66.83,70.83,266.898,4.07
79,Kirakira,8,SB,1553314451,100,-10.46,161.92,302.648,2.87
80,Saint-Pierre,0,FR,1553314324,70,48.95,4.24,279.15,1.0
81,Byron Bay,0,AU,1553314229,66,-28.65,153.62,307.59,7.2
82,Sao Joao da Barra,92,BR,1553314154,97,-21.64,-41.05,299.748,6.37
83,Miquelon,100,PM,1553314452,85,47.1,-56.38,275.248,17.47
84,Provideniya,92,RU,1553314452,100,64.42,-173.23,264.048,5.82
85,Devonport,92,AU,1553314325,90,-41.18,146.36,290.37,2.68
86,Celestun,0,MX,1553313927,100,20.87,-90.4,297.198,8.12
87,Pangai,20,TO,1553310000,61,-19.8,-174.35,301.15,4.6
88,Atambua,0,ID,1553314453,90,-9.11,124.89,302.498,5.22
89,Coihaique,0,CL,1553313600,87,-45.58,-72.07,284.15,1.5
90,Liaoyang,0,CN,1553313600,23,41.27,123.17,277.15,7.0
91,Muroran,75,JP,1553310000,51,42.32,140.98,275.15,7.7
92,Hithadhoo,48,MV,1553314367,98,-0.6,73.08,303.198,2.37
93,Bethel,75,US,1553313360,70,60.79,-161.76,279.15,3.6
94,Saskylakh,36,RU,1553314214,85,71.97,114.09,253.748,7.62
95,Hofn,44,IS,1553314456,100,64.25,-15.21,275.748,11.37
96,Hermanus,12,ZA,1553313694,88,-34.42,19.24,290.93,2.68
97,Kargasok,80,RU,1553314457,87,59.06,80.87,270.498,1.12
98,Alcaniz,0,ES,1553314033,67,41.05,-0.13,280.37,1.79
99,Codrington,0,AU,1553314319,44,-28.95,153.24,307.15,4.6
100,Victoria,75,BN,1553311800,66,5.28,115.24,305.15,2.1
101,Kibondo,20,TZ,1553314166,92,-3.59,30.72,288.998,1.07
102,Pangkalanbuun,20,ID,1553313968,86,-2.68,111.62,303.048,2.52
103,Marienburg,20,DE,1553314417,87,52.12,9.98,283.71,2.6
104,Hami,0,CN,1553314458,53,42.84,93.51,279.648,2.32
105,Cravo Norte,32,CO,1553314459,84,6.3,-70.2,298.348,1.32
106,Kruisfontein,32,ZA,1553314459,86,-34.0,24.73,291.398,3.77
107,Kaitangata,24,NZ,1553313895,83,-46.28,169.85,291.398,4.02
108,Armilla,0,ES,1553314444,93,37.14,-3.63,283.15,1.02
109,Orlik,20,RU,1553314460,62,52.51,99.83,267.798,2.22
110,Vao,48,EE,1553313879,83,59.1,26.19,269.598,3.72
111,Port Elizabeth,20,US,1553314433,41,39.31,-74.98,278.71,11.3
112,Cockburn Town,32,TC,1553314460,100,21.46,-71.14,298.848,2.72
113,Volkhovskiy,0,RU,1553314461,93,58.58,31.32,269.198,1.92
114,Chapaevsk,90,RU,1553311800,95,52.98,49.71,273.15,4.0
115,Port Hardy,90,CA,1553310000,76,50.7,-127.42,282.15,2.6
116,Calama,0,CL,1553313600,29,-22.46,-68.93,282.15,6.7
117,East London,0,ZA,1553310000,88,-33.02,27.91,293.15,3.1
118,Antalaha,76,MG,1553314462,94,-14.9,50.28,298.398,3.42
119,San Patricio,0,PY,1553314462,83,-26.98,-56.83,289.398,1.22
120,Salym,80,RU,1553314345,94,60.06,71.48,272.548,2.12
121,Rapar,0,IN,1553314463,34,23.57,70.65,296.998,1.52
122,Ambilobe,32,MG,1553314463,93,-13.19,49.05,295.448,1.37
123,Orda,80,RU,1553314463,93,57.2,56.91,271.648,1.92
124,Bud,80,NO,1553313768,75,62.91,6.91,278.15,14.4
125,Raudeberg,88,NO,1553314203,70,61.99,5.14,279.15,15.9
126,Ribeira Grande,92,PT,1553314435,99,38.52,-28.7,289.148,5.67
127,Phan Thiet,24,VN,1553314464,80,10.93,108.1,302.648,3.77
128,Lorengau,44,PG,1553314464,97,-2.02,147.27,301.748,4.47
129,Kavieng,8,PG,1553314465,100,-2.57,150.8,301.148,3.52
130,Nikolskoye,0,RU,1553314435,79,59.7,30.79,272.04,2.0
131,Bubaque,32,GW,1553314465,100,11.28,-15.83,297.998,6.52
132,Tasiilaq,68,GL,1553313000,43,65.61,-37.64,262.15,3.1
133,Avarua,100,CK,1553311800,78,-21.21,-159.78,301.15,1.5
134,Leningradskiy,0,RU,1553314466,86,69.38,178.42,249.948,2.42
135,Naze,64,NG,1553314466,92,5.43,7.07,297.648,2.92
136,Sept-Iles,90,CA,1553313624,88,50.2,-66.38,274.82,4.6
137,Ojinaga,1,US,1553313633,14,29.56,-104.41,295.15,4.6
138,Aripuana,20,BR,1553314208,94,-9.17,-60.63,298.148,0.92
139,Penapolis,92,BR,1553314221,75,-21.42,-50.08,296.648,5.07
140,Swakopmund,0,NA,1553313727,87,-22.68,14.53,289.26,3.1
141,Naron,0,ES,1553314272,93,43.52,-8.15,282.59,2.6
142,Krasnyy,92,RU,1553314315,100,53.81,40.7,274.26,0.89
143,Egvekinot,64,RU,1553314468,77,66.32,-179.17,257.398,6.37
144,Basco,1,US,1553314455,64,40.33,-91.2,281.48,1.5
145,Tezu,92,IN,1553314468,100,27.93,96.16,284.398,0.72
146,Maues,44,BR,1553314469,92,-3.38,-57.72,298.398,1.97
147,Carupano,0,VE,1553314469,86,10.67,-63.26,298.598,6.62
148,Port Lincoln,88,AU,1553314212,81,-34.72,135.86,295.098,3.67
149,Lavrentiya,92,RU,1553314469,100,65.58,-170.99,264.148,8.52
150,Kerema,24,PG,1553314470,97,-7.96,145.78,299.048,1.42
151,Ahipara,68,NZ,1553314470,73,-35.17,173.16,295.948,2.27
152,Nortelandia,76,BR,1553314470,90,-14.45,-56.8,296.398,2.12
153,Vila,0,IT,1553314467,64,45.18,8.4,283.15,3.6
154,Port Alfred,68,ZA,1553314257,95,-33.59,26.89,291.48,5.57
155,Brae,88,GB,1553313000,80,60.4,-1.35,278.15,15.4
156,Ayr,40,GB,1553314370,75,55.46,-4.63,279.15,5.7
157,Ilulissat,0,GL,1553309400,63,69.22,-51.1,249.15,2.1
158,Paamiut,8,GL,1553314471,100,61.99,-49.67,266.398,10.67
159,Etoka,68,RU,1553311800,56,43.91,43.04,280.15,6.0
160,Half Moon Bay,90,US,1553314239,93,37.46,-122.43,286.48,6.7
161,Berlevag,68,NO,1553314193,100,70.86,29.09,272.798,9.72
162,Namibe,0,AO,1553314473,100,-15.19,12.15,298.548,1.97
163,Vostok,56,RU,1553314473,43,46.45,135.83,267.048,2.12
164,Necochea,0,AR,1553314014,74,-38.55,-58.74,287.59,1.34
165,Twin Falls,90,US,1553313918,81,42.57,-114.46,283.15,6.2
166,Kolondieba,68,ML,1553314474,45,11.09,-6.89,299.298,2.87
167,Pitimbu,20,BR,1553310000,94,-7.47,-34.81,299.15,1.5
168,Fort Abbas,24,PK,1553314474,71,29.19,72.85,292.148,4.27
169,Tura,36,IN,1553314474,81,25.52,90.21,293.748,1.92
170,Puerto Ayora,0,EC,1553313645,92,-0.74,-90.35,299.26,4.67
171,Frome,90,GB,1553314459,93,51.23,-2.32,283.15,2.6
172,Mahebourg,40,MU,1553314440,88,-20.41,57.7,299.82,1.0
173,Oyama,75,JP,1553314437,80,36.31,139.8,283.71,2.1
174,Volga,1,US,1553314382,81,44.32,-96.93,275.15,3.1
175,Geraldton,5,CA,1553310000,61,49.72,-86.95,264.15,1.5
176,Akdepe,0,TM,1553313600,87,42.05,59.39,282.15,6.2
177,Bambous Virieux,40,MU,1553314440,88,-20.34,57.76,299.82,1.0
178,Sao Filipe,44,CV,1553314477,100,14.9,-24.5,293.898,6.32
179,Wajima,75,JP,1553310000,44,37.4,136.9,277.15,2.6
180,Fairmont,75,US,1553314404,75,40.64,-97.59,283.71,4.1
181,Ugoofaaru,68,MV,1553314478,94,5.67,73.0,303.048,4.02
182,Anito,0,PH,1553314478,94,12.45,125.29,300.448,5.97
183,Badnawar,0,IN,1553310000,29,23.02,75.23,298.15,5.1
184,Kroya,32,ID,1553314478,89,-6.5,108.06,301.148,1.42
185,Novobirilyussy,88,RU,1553314479,95,56.95,90.69,271.298,1.87
186,Cabo San Lucas,5,MX,1553313925,72,22.89,-109.91,294.26,2.42
187,Tiksi,12,RU,1553314479,70,71.64,128.87,262.448,1.97
188,Dudinka,32,RU,1553314232,77,69.41,86.18,254.998,2.07
189,Adre,0,TD,1553314479,58,13.47,22.2,290.398,1.22
190,Esperance,75,TT,1553314207,88,10.24,-61.45,299.26,3.1
191,Havoysund,40,NO,1553313000,80,71.0,24.66,275.15,9.8
192,Excelsior Springs,1,US,1553314468,37,39.34,-94.23,286.48,4.37
193,Barinas,20,VE,1553314481,53,8.64,-70.23,301.548,2.97
194,Nishihara,75,JP,1553314437,70,35.74,139.53,282.04,4.1
195,Norman Wells,90,CA,1553310000,73,65.28,-126.83,269.15,2.1
196,Tiznit,0,MA,1553314481,85,29.7,-9.73,286.548,1.17
197,Khatanga,12,RU,1553314216,79,71.98,102.47,248.398,4.32
198,Komsomolskiy,88,RU,1553314482,82,67.55,63.78,265.698,1.32
199,Manggar,88,ID,1553314482,97,-2.88,108.27,300.998,2.17
200,Tevaitoa,32,PF,1553314483,96,-16.78,-151.5,302.798,3.52
201,High Level,20,CA,1553313600,56,58.52,-117.13,280.15,2.6
202,Haverhill,90,GB,1553314479,93,52.08,0.44,282.59,1.5
203,Sorland,92,NO,1553314483,100,67.67,12.69,276.498,14.92
204,Ostrovnoy,64,RU,1553314484,83,68.05,39.51,266.848,8.52
205,Krasnokamensk,0,RU,1553314310,30,50.1,118.04,271.548,5.02
206,Auki,20,NG,1553314485,65,12.18,6.51,293.198,1.22
207,Pisco,0,PE,1553313600,83,-13.71,-76.2,294.15,2.1
208,Cherskiy,0,RU,1553314485,68,68.75,161.3,259.498,1.32
209,Coron,0,FR,1553314326,100,47.13,-0.65,277.04,1.02
210,Lebu,0,ET,1553314486,78,8.96,38.73,280.648,1.82
211,Den Helder,90,NL,1553314482,100,52.96,4.76,281.15,2.6
212,Hunchun,20,CN,1553314486,56,42.86,130.36,275.048,2.47
213,Tadine,92,NC,1553314487,95,-21.55,167.88,299.948,7.02
214,Anadyr,24,RU,1553314391,76,64.73,177.51,252.59,10.0
215,Mayahi,0,NE,1553314487,20,13.95,7.67,299.148,6.57
216,Bose,0,IT,1553314481,42,45.46,8.01,282.59,1.5
217,Ancud,90,CL,1553313600,100,-41.87,-73.83,286.15,3.1
218,Muros,0,ES,1553314429,93,42.77,-9.06,285.93,0.5
219,Pahrump,1,US,1553314201,54,36.21,-115.98,287.04,0.97
220,Tual,0,ID,1553314488,96,-5.67,132.75,302.748,5.47
221,Kaduqli,0,SD,1553314489,34,11.01,29.72,292.648,3.47
222,Georgetown,0,GY,1553313600,88,6.8,-58.16,296.15,2.1
223,Denia,8,ES,1553314444,80,38.84,0.11,287.59,1.34
224,Meulaboh,20,ID,1553314270,100,4.14,96.13,301.298,1.82
225,Nemuro,40,JP,1553310000,46,43.32,145.57,271.15,5.1
226,Acapulco,5,MX,1553309520,78,16.86,-99.88,300.15,3.1
227,Mendi,8,ET,1553314490,75,9.8,35.1,289.748,0.72
228,Nha Trang,40,VN,1553311800,66,12.24,109.19,305.15,3.6
229,Lithgow,76,AU,1553314391,54,-33.48,150.16,302.04,2.6
230,Careiro da Varzea,75,BR,1553313600,88,-3.2,-59.81,300.15,1.0
231,Adrar,0,DZ,1553310000,61,27.87,-0.29,286.15,4.1
232,Evensk,8,RU,1553314492,100,61.92,159.24,269.748,6.12
233,Fairbanks,75,US,1553314230,48,64.84,-147.72,281.48,2.6
234,Haines Junction,24,CA,1553314492,60,60.75,-137.51,277.798,0.92
235,Vawkavysk,0,BY,1553310000,86,53.15,24.45,272.15,4.0
236,Tateyama,75,JP,1553314199,48,36.66,137.31,284.26,2.6
237,Penzance,92,GB,1553314388,93,50.12,-5.53,283.71,7.2
238,Khandwa,0,IN,1553314493,34,21.82,76.36,296.298,3.02
239,Longyearbyen,75,NO,1553313000,79,78.22,15.63,267.15,1.5
240,Vestmannaeyjar,0,IS,1553314155,92,63.44,-20.27,275.898,13.82
241,Gobabis,0,NA,1553314494,35,-22.45,18.97,293.748,5.27
242,Tabuk,0,PH,1553314494,45,17.41,121.44,301.248,1.12
243,Bara,88,NG,1553314495,47,10.41,10.6,299.248,2.62
244,Opuwo,80,NA,1553314495,51,-18.06,13.84,294.298,0.62
245,Najran,0,SA,1553310000,30,17.54,44.22,294.15,1.52
246,Kaeo,92,NZ,1553314085,69,-35.1,173.78,295.37,3.13
247,Tooele,90,US,1553314265,93,40.53,-112.3,280.37,1.5
248,Shaunavon,0,CA,1553314496,70,49.65,-108.41,279.998,5.22
249,Vaterstetten,0,DE,1553314486,100,48.11,11.77,276.15,0.5
250,Nyurba,68,RU,1553314497,82,63.29,118.35,268.648,1.67
251,Umm Kaddadah,0,SD,1553314497,23,13.6,26.69,291.548,2.37
252,Shenzhen,75,CN,1553314475,93,22.54,114.05,295.15,6.0
253,Palana,0,RU,1553314497,61,59.08,159.95,271.398,5.57
254,Lokosovo,80,RU,1553314498,87,61.13,74.84,272.298,1.47
255,Srednekolymsk,8,RU,1553314498,63,67.46,153.71,264.998,2.02
256,Marzuq,0,YE,1553314498,72,14.4,46.47,280.398,1.07
257,Miraflores,36,CO,1553314499,100,5.2,-73.14,282.848,0.17
258,Mingaora,100,PK,1553314447,55,34.78,72.36,281.298,0.97
259,Sychevka,88,RU,1553314499,88,55.83,34.27,273.998,7.82
260,Osoyoos,75,CA,1553313489,66,49.03,-119.47,285.15,1.5
261,Taltal,0,CL,1553314500,97,-25.41,-70.49,287.198,0.47
262,Taoudenni,44,ML,1553314500,21,22.68,-3.98,293.548,5.22
263,Assiniboia,0,CA,1553314500,76,49.63,-105.99,269.598,1.72
264,Naberera,0,TZ,1553314500,96,-4.2,36.93,288.548,1.32
265,Elizabethtown,90,US,1553314320,47,40.15,-76.6,276.48,6.2
266,La Ronge,5,CA,1553310000,74,55.1,-105.3,276.15,1.0
267,Sur,0,OM,1553314501,100,22.57,59.53,294.398,4.77
268,Vuktyl,88,RU,1553314502,92,63.86,57.31,271.248,1.52
269,Quatre Cocos,40,MU,1553314440,88,-20.21,57.76,299.82,1.0
270,Nuuk,48,GL,1553313000,71,64.17,-51.74,257.15,6.2
271,Hasaki,75,JP,1553314488,93,35.73,140.83,278.15,1.5
272,Balkanabat,8,TM,1553314503,75,39.51,54.36,272.148,0.52
273,Boo,8,NG,1553314503,89,7.44,8.9,297.398,3.87
274,Sinnamary,92,GF,1553314503,94,5.38,-52.96,299.748,6.12
275,Arman,88,RU,1553314503,77,59.7,150.17,268.648,5.32
276,Urengoy,76,RU,1553314504,92,65.96,78.37,266.998,2.77
277,Luderitz,0,NA,1553314504,92,-26.65,15.16,287.098,3.52
278,Luxor,0,EG,1553310000,37,25.7,32.65,292.15,1.5
279,Ahuimanu,20,US,1553314043,78,21.44,-157.84,299.15,5.1
280,Makakilo City,1,US,1553314343,53,21.35,-158.09,299.15,3.6
281,Isangel,75,VU,1553310000,70,-19.55,169.27,304.15,7.2
282,Katsuura,75,JP,1553313220,46,33.93,134.5,283.15,6.2
283,Hue,75,VN,1553311800,74,16.47,107.58,301.15,2.1
284,Belmonte,0,PT,1553313651,49,40.36,-7.35,283.71,0.45
285,Gizo,20,IL,1553314412,93,31.8,34.94,286.48,2.1
286,Pevek,0,RU,1553314506,76,69.7,170.27,253.498,1.17
287,Epe,75,DE,1553314504,87,52.18,7.04,282.04,4.1
288,Sanming,92,CN,1553314507,100,26.24,117.6,287.298,0.77
289,Plouzane,90,FR,1553314502,100,48.38,-4.62,280.93,1.0
290,Kisangani,76,CD,1553314507,100,0.52,25.21,294.998,1.07
291,Hun,0,BE,1553314490,100,50.34,4.87,281.15,1.0
292,Luz,92,BR,1553314508,92,-19.79,-45.68,291.898,4.37
293,Caravelas,100,BR,1553314508,100,-17.73,-39.27,299.498,9.07
294,Mitsamiouli,20,KM,1553310000,83,-11.38,43.28,298.15,2.6
295,Richards Bay,80,ZA,1553314509,99,-28.77,32.06,292.648,0.97
296,Varhaug,20,NO,1553314504,75,58.61,5.65,279.26,5.7
297,Port Blair,20,IN,1553313600,55,11.67,92.75,304.15,2.1
298,Ponta do Sol,92,BR,1553314509,94,-20.63,-46.0,291.248,4.67
299,Broken Hill,24,AU,1553310000,19,-31.97,141.45,308.15,6.7
300,Karwar,0,IN,1553314510,57,14.8,74.13,298.298,1.22
301,Kuznechnoye,20,RU,1553314505,72,61.12,29.87,273.15,1.77
302,Avera,1,US,1553314240,29,33.19,-82.53,289.15,2.1
303,Jumla,0,NP,1553314510,71,29.28,82.18,271.898,0.87
304,Alyangula,40,AU,1553310000,70,-13.85,136.42,303.15,6.2
305,Sturgeon Bay,1,US,1553314204,79,44.83,-87.38,271.48,4.12
306,Mokhsogollokh,56,RU,1553314511,65,61.4,128.95,263.248,2.62
307,Logan,90,US,1553314403,81,41.73,-111.83,279.15,0.92
308,Coquimbo,90,CL,1553313600,87,-29.95,-71.34,287.15,1.5
309,Marsa Matruh,40,EG,1553310000,87,31.35,27.25,289.15,3.6
310,Songjianghe,56,CN,1553314512,64,42.18,127.48,269.998,4.52
311,West Calder,0,GB,1553314509,80,55.85,-3.57,278.15,6.7
312,Ingham,92,AU,1553314513,100,-18.65,146.16,298.048,3.57
313,Thompson,5,CA,1553310000,59,55.74,-97.86,276.15,3.1
314,Kabale,0,UG,1553314513,100,-1.26,29.99,284.648,1.07
315,Ixtapa,5,MX,1553314211,94,20.71,-105.21,296.48,1.5
316,Nanortalik,48,GL,1553314514,96,60.14,-45.24,273.048,13.17
317,Abha,0,SA,1553310000,51,18.22,42.5,289.15,3.1
318,Comodoro Rivadavia,90,AR,1553310000,93,-45.87,-67.48,287.15,0.5
319,Charagua,92,BO,1553314514,94,-19.79,-63.2,292.198,2.32
320,Guangshui,64,CN,1553314515,50,31.62,113.82,286.698,2.77
321,Matagami,44,NG,1553314515,90,9.67,8.4,291.598,1.67
322,Dir,92,CM,1553314515,69,6.33,13.54,295.448,1.97
323,Tuatapere,48,NZ,1553314515,70,-46.13,167.69,292.748,2.02
324,Itupiranga,90,BR,1553313600,100,-5.13,-49.33,298.15,2.1
325,Haikou,75,CN,1553313600,70,20.04,110.34,303.15,4.0
326,Antipino,0,RU,1553311800,79,57.11,65.76,271.15,1.0
327,Dubbo,36,AU,1553313600,30,-32.25,148.6,307.15,8.2
328,Mitu,0,IR,1553314517,81,36.2,46.09,269.948,1.62
329,Cariamanga,92,EC,1553314517,100,-4.33,-79.56,291.648,0.57
330,Vila Velha,75,BR,1553314097,83,-3.71,-38.6,300.37,2.6
331,Poum,40,MK,1553313600,51,41.28,20.71,277.15,1.5
332,Gamba,0,CN,1553314518,88,28.28,88.52,260.998,1.72
333,Derbent,0,RU,1553314518,79,42.06,48.29,270.148,1.22
334,Meridian,1,US,1553309880,71,32.36,-88.7,284.15,2.22
335,Oistins,40,BB,1553313600,74,13.07,-59.53,299.15,9.3
336,Ballina,56,IE,1553314384,90,54.11,-9.15,278.71,0.89
337,Hovd,20,NO,1553314502,87,63.83,10.7,278.15,13.9
338,Pasni,32,PK,1553314519,96,25.26,63.48,295.348,2.17
339,Seoul,90,KR,1553313000,93,37.57,126.98,281.15,4.1
340,Khilok,44,RU,1553314520,52,51.36,110.46,273.648,3.87
341,Syriam,0,MM,1553311800,62,16.77,96.24,303.15,2.6
342,Medeiros Neto,92,BR,1553314520,97,-17.37,-40.22,295.498,3.57
343,Seewalchen,0,AT,1553314519,69,47.9,13.14,278.71,3.1
344,Kurri Kurri,0,AU,1553314242,45,-32.82,151.48,305.37,3.1
345,Riyadh,0,SA,1553310000,59,24.63,46.72,289.15,1.52
346,Rio Gallegos,90,AR,1553310000,93,-51.62,-69.22,283.15,2.1
347,Walvis Bay,0,NA,1553313727,87,-22.95,14.51,289.26,3.1
348,Mount Isa,40,AU,1553313600,43,-20.73,139.49,305.15,6.7
349,Skibbereen,40,IE,1553311800,86,51.55,-9.27,277.15,2.6
350,Aloleng,0,PH,1553314257,84,16.13,119.78,302.098,2.07
351,Dong Hoi,32,VN,1553314523,100,17.48,106.6,298.548,3.47
352,Jaszdozsa,0,HU,1553314516,86,47.57,20.02,279.15,1.57
353,Nome,1,US,1553314209,82,30.04,-94.42,290.93,2.1
354,Kieta,56,PG,1553314523,94,-6.22,155.63,301.598,1.77
355,Kodinsk,0,RU,1553314523,65,58.6,99.18,272.498,3.07
356,Zhigansk,68,RU,1553314524,72,66.77,123.37,262.148,4.77
357,San Cristobal,40,EC,1553313676,93,-0.39,-78.55,285.15,1.0
358,Blackwater,44,GB,1553314522,93,51.33,-0.78,282.59,1.0
359,Kampong Chhnang,8,KH,1553314525,74,12.25,104.67,304.198,1.82
360,Puerto Cabezas,44,NI,1553314525,91,14.04,-83.39,299.298,8.22
361,Aasiaat,12,GL,1553314525,100,68.71,-52.87,250.598,1.22
362,Nurobod,80,UZ,1553311800,81,40.91,69.8,284.15,2.1
363,Uthal,64,PK,1553314526,35,25.81,66.62,292.148,1.22
364,Rio Grande,64,BR,1553314526,100,-32.03,-52.1,290.698,3.52
365,Leninskoye,0,RU,1553311800,79,54.82,82.85,271.15,2.0
366,Chokurdakh,0,RU,1553314527,85,70.62,147.9,253.848,4.02
367,Cassilandia,92,BR,1553314527,86,-19.11,-51.73,295.648,2.22
368,Ust-Koksa,0,RU,1553314528,72,50.27,85.62,267.748,0.77
369,Carnarvon,56,ZA,1553314528,67,-30.97,22.13,282.848,1.57
370,Colquiri,44,BO,1553314528,96,-17.42,-67.13,275.048,1.07
371,Atherton,76,GB,1553314528,75,53.52,-2.49,280.93,1.0
372,Souillac,0,FR,1553314522,80,45.6,-0.6,279.26,1.92
373,Dno,0,RU,1553314529,82,57.83,29.97,269.248,3.12
374,Westport,56,IE,1553314384,78,53.8,-9.52,280.37,0.89
375,Grafton,0,AU,1553314397,46,-29.69,152.93,305.15,3.1
376,Winsum,36,NL,1553314375,93,53.33,6.52,279.82,2.1
